euringNumber,family,species,commonName
15670,Corvus,corone,Rabenkrähe
6060,Hydroprogne,caspia,Raubseeschwalbe 
15200,Lanius,excubitor,Raubwürger
9920,Hirundo,rustica,Rauchschwalbe
7700,Aegolius,funereus,Raufußkauz
3670,Perdix,perdix,Rebhuhn 
2030,Aythya,fuligula,Reiherente 
11860,Turdus,torquatus,Ringdrossel 
6700,Columba,palumbus,Ringeltaube 
18770,Emberiza,schoeniclus,Rohrammer
950,Botaurus,stellaris,Rohrdommel
12380,Locustella,luscinioides,Rohrschwirl
2600,Circus,aeruginosus,Rohrweihe
1470,Phoenicopterus,roseus,Rosaflamingo
1710,Tadorna,ferruginea,Rostgans
12010,Turdus,iliacus,Rotdrossel
3070,Falco,vespertinus,Rotfußfalke
100,Podiceps,grisegena,Rothalstaucher
10990,Erithacus,rubecula,Rotkehlchen 
15230,Lanius,senator,Rotkopfwürger 
2390,Milvus,milvus,Rotmilan
5460,Tringa,totanus,Rotschenkel
1570,Anser,fabalis,Saatgans
15630,Corvus,frugilegus,Saatkrähe 
4560,Recurvirostra,avosetta,Säbelschnäbler
4700,Charadrius,hiaticula,Sandregenpfeifer
2180,Bucephala,clangula,Schellente 
12430,Acrocephalus,schoenobaenus,Schilfrohrsänger
12370,Locustella,fluviatilis,Schlagschwirl
2560,Circaetus,gallicus,Schlangenadler
7350,Tyto,alba,Schleiereule 
1820,Anas,strepera,Schnatterente
16110,Montifringilla,nivalis,Schneesperling
2920,Aquila,pomarina,Schreiadler 
14370,Aegithalos,caudatus,Schwanzmeise 
120,Podiceps,nigricollis,Schwarzhalstaucher
11390,Saxicola,rubicola,Schwarzkehlchen
5750,Larus,melanocephalus,Schwarzkopfmöwe
2250,Oxyura,jamaicensis,Schwarzkopf-Ruderente
2380,Milvus,migrans,Schwarzmilan
20800,Cygnus,atratus,Schwarzschwan
8630,Dryocopus,martius,Schwarzspecht
1310,Ciconia,nigra,Schwarzstorch
2430,Haliaeetus,albicilla,Seeadler 
4770,Charadrius,alexandrinus,Seeregenpfeifer
12420,Acrocephalus,paludicola,Seggenrohrsänger 
1190,Egretta,garzetta,Seidenreiher
12200,Cettia,cetti,Seidensänger
5920,Larus,argentatus,Silbermöwe
1210,Casmerodius,albus,Silberreiher
12000,Turdus,philomelos,Singdrossel 
1540,Cygnus,cygnus,Singschwan
13150,Regulus,ignicapilla,Sommergoldhähnchen 
2690,Accipiter,nisus,Sperber 
12730,Sylvia,nisoria,Sperbergrasmücke
7510,Glaucidium,passerinum,Sperlingskauz
1890,Anas,acuta,Spießente
11030,Luscinia,luscinia,Sprosser 
15820,Sturnus,vulgaris,Star 
2960,Aquila,chrysaetos,Steinadler
3570,Alectoris,graeca,Steinhuhn 
7570,Athene,noctua,Steinkauz
11620,Monticola,saxatilis,Steinrötel
11460,Oenanthe,oenanthe,Steinschmätzer 
5610,Arenaria,interpres,Steinwälzer
4550,Himantopus,himantopus,Stelzenläufer
5927,Larus,cachinnans,Steppenmöwe
16530,Carduelis,carduelis,Stieglitz 
1860,Anas,platyrhynchos,Stockente
10142,Anthus,petrosus,Strandpieper
6650,Columba,livia,Straßentaube 
1620,Anser,indicus,Streifengans
5900,Larus,canus,Sturmmöwe
14400,Parus,palustris,Sumpfmeise
7680,Asio,flammeus,Sumpfohreule
12500,Acrocephalus,palustris,Sumpfrohrsänger
1980,Aythya,ferina,Tafelente 
15570,Nucifraga,caryocatactes,Tannenhäher 
14610,Parus,ater,Tannenmeise
4240,Gallinula,chloropus,Teichhuhn
12510,Acrocephalus,scirpaceus,Teichrohrsänger
6360,Alca,torda,Tordalk
13490,Ficedula,hypoleuca,Trauerschnäpper 
6270,Chlidonias,niger,Trauerseeschwalbe
6340,Uria,aalge,Trottellumme
4080,Porzana,porzana,Tüpfelsumpfhuhn 
6840,Streptopelia,decaocto,Türkentaube 
3040,Falco,tinnunculus,Turmfalke 
6870,Streptopelia,turtur,Turteltaube
5320,Limosa,limosa,Uferschnepfe
9810,Riparia,riparia,Uferschwalbe 
7440,Bubo,bubo,Uhu 
11980,Turdus,pilaris,Wacholderdrossel 
3700,Coturnix,coturnix,Wachtel 
4210,Crex,crex,Wachtelkönig 
14860,Certhia,familiaris,Waldbaumläufer 
7610,Strix,aluco,Waldkauz 
13080,Phylloscopus,sibilatrix,Waldlaubsänger
7670,Asio,otus,Waldohreule 
5290,Scolopax,rusticola,Waldschnepfe
5530,Tringa,ochropus,Waldwasserläufer 
3200,Falco,peregrinus,Wanderfalke
10500,Cinclus,cinclus,Wasseramsel 
4070,Rallus,aquaticus,Wasserralle
14420,Parus,montanus,Weidenmeise
6260,Chlidonias,hybrida,Weißbart-Seeschwalbe
6280,Chlidonias,leucopterus,Weißflügel-Seeschwalbe
8840,Dendrocopos,leucotos,Weißrückenspecht
1340,Ciconia,ciconia,Weißstorch
1670,Branta,leucopsis,Weißwangengans
8480,Jynx,torquilla,Wendehals
2310,Pernis,apivorus,Wespenbussard
8460,Upupa,epops,Wiedehopf 
10110,Anthus,pratensis,Wiesenpieper
10170,Motacilla,flava,Wiesenschafstelze
2630,Circus,pygargus,Wiesenweihe
13140,Regulus,regulus,Wintergoldhähnchen 
3160,Falco,cherrug,Würgfalke
18580,Emberiza,cirlus,Zaunammer 
10660,Troglodytes,troglodytes,Zaunkönig 
7780,Caprimulgus,europaeus,Ziegenmelker
13110,Phylloscopus,collybita,Zilpzalp 
18600,Emberiza,cia,Zippammer 
12260,Cisticola,juncidis,Zistensänger
10180,Motacilla,citreola,Zitronenstelze
16440,Carduelis,citrinella,Zitronenzeisig
2980,Aquila,pennata,Zwergadler
980,Ixobrychus,minutus,Zwergdommel
5780,Hydrocoloeus,minutus,Zwergmöwe
7390,Otus,scops,Zwergohreule
13430,Ficedula,parva,Zwergschnäpper
5180,Lymnocryptes,minimus,Zwergschnepfe
6240,Sternula,albifrons,Zwergseeschwalbe
70,Tachybaptus,ruficollis,Zwergtaucher
